"cell_id","X","Y","cluster","Pseudotime","paper_state","Zone","SOX2","EOMES","MYT1L"
"SRR2967100",-68.2712444359991,-32.1246294488217,"4",29.7767009059579,"AP1","VZ",3.05553407163694,0,0
"SRR2967103",-68.4854842870239,28.2733017512535,"3",119.016965718942,"BP2","oSVZ",1.00465958563459,0,0
"SRR2967104",-104.765757507312,8.13181553626195,"3",95.2745910914051,"BP1","iSVZ",3.20843141970615,0,0
"SRR2967111",-95.5219892984922,8.41690499270016,"3",91.0217578102409,"BP1","iSVZ",4.28326248483757,0,0.29313972872319
"SRR2967113",-38.783541493031,37.229300406394,"3",149.711185906765,"N2","CP",0,0,0
"SRR2967114",-86.9120200042215,32.5773412396685,"3",108.727465708777,"BP2","iSVZ",4.4394236728416,1.38707022209029,0
"SRR2967115",-76.191785605392,12.0291754796782,"3",107.387586795196,"BP2","iSVZ",4.92547729627676,0,0
"SRR2967116",-89.0748903055224,-11.9566703173845,"3",112.38456757245,"BP2","iSVZ",4.46783375497769,0,0
"SRR2967119",-87.0188738522685,1.72463387161669,"3",101.375808252936,"BP1","iSVZ",1.00494716556465,0,0.716086595299354
"SRR2967120",-149.014118340918,24.0443312054005,"3",139.451735224796,"N1","CP",2.87611809369183,0,0
"SRR2967121",-8.24860806510876,-26.3282841631067,"1",37.7221514550339,"AP1","VZ",0,0,0.41269482556661
"SRR2967122",-123.563827057048,6.96414310115785,"3",113.408093852677,"BP2","iSVZ",2.89947148799919,0,0.195845210783651
"SRR2967123",-122.428436593456,-0.477284380675288,"3",114.897774850517,"BP2","iSVZ",0.258569576437978,0,0.042734818163002
"SRR2967124",-96.9864164501233,0.657234320070571,"3",98.4780478534096,"BP1","iSVZ",2.1195719840917,0,0
"SRR2967125",-5.94349879741103,3.53850858549328,"1",64.7995574151207,"AP2","iSVZ",5.62385808488505,8.05495155396071,0.425235846977779
"SRR2967127",-88.0960480106766,32.5424317958937,"3",108.177061254298,"BP2","iSVZ",2.27919491358272,2.52929373565811,3.92558173585055
"SRR2967128",-86.4963910068672,-11.5505452593333,"3",112.927544439008,"BP2","iSVZ",2.09230893746096,0,0
"SRR2967129",-102.926425288892,-4.15466883659823,"3",104.240969593182,"BP1","iSVZ",4.74913197319041,0.186994893915039,0
"SRR2967132",-62.7794846198195,3.14307918164256,"3",122.101748841719,"BP2","oSVZ",4.55722626442917,0,0.247199604090595
"SRR2967133",-38.4779216204816,-16.1045274965935,"1",69.6093860716825,"BP1","iSVZ",1.57807887627211,0,0
"SRR2967135",-109.32756671141,27.312606630081,"3",105.368661467032,"BP1","iSVZ",3.73159600188456,0,0
"SRR2967136",-81.0328844784666,-4.16435337601146,"3",109.766556950982,"BP2","iSVZ",5.47303030473558,0,0.163221759774586
"SRR2967137",-108.476396442365,6.09243452989553,"3",99.506071927899,"BP1","iSVZ",4.45079555581761,0,0.262730205560434
"SRR2967138",-27.6541604925994,-16.0484468469195,"1",59.5601177444215,"AP2","VZ",5.89349812448656,0,0
"SRR2967139",-66.45059024909,-11.1271707799224,"3",125.298219238199,"BP2","oSVZ",5.25929132105357,0,0
"SRR2967141",-132.115840303923,25.4072116080988,"3",123.560415873071,"BP2","oSVZ",4.76798312758651,0,0
"SRR2967145",-95.2056253809571,34.7744110736388,"3",108.515144582582,"BP2","iSVZ",0.535562300519628,0,6.62574098376052
"SRR2967146",-72.2845229165588,23.7589647478934,"5",66.2000874887356,"BP1","iSVZ",2.0164036078934,0,0.221853577172156
"SRR2967148",-40.9815275633176,4.13461484579268,"3",143.240958766033,"N2","CP",0,0,0
"SRR2967152",-76.3723639063081,29.7480160887372,"3",113.262776294944,"BP2","iSVZ",2.22938488527137,0,0
"SRR2967154",-101.427374752659,25.8969385203469,"3",100.220415676087,"BP1","iSVZ",4.75670308634617,0,0
"SRR2967155",-135.090223505741,16.3549103187169,"3",124.481617189017,"BP2","oSVZ",5.81416842271304,0,0
"SRR2967161",-138.163637439646,14.8143886849634,"3",127.435574375051,"N1","oSVZ",2.07325812383164,0,0
"SRR2967163",6.9385462842146,-25.2369028974447,"1",46.0807988182852,"AP2","VZ",1.50730752949433,0,0
"SRR2967165",-92.7310393653806,9.92423473120569,"3",91.6536372371873,"BP1","iSVZ",0,0,0.271756728849581
"SRR2967166",-113.841865249894,11.8239152759621,"3",103.086545192038,"BP1","iSVZ",0,0,0
"SRR2967167",-23.336983245502,-14.7481589114058,"1",56.4419189860961,"AP2","VZ",2.03280967072664,0,0
"SRR2967168",-11.6910783941468,-42.7744115514067,"4",28.5834255190873,"AP1","VZ",2.91356538872521,0,0.193174990700651
"SRR2967170",-97.317156005824,-3.22165533925487,"3",102.356125688887,"BP1","iSVZ",4.70096121362199,0,0
"SRR2967172",-120.313739323511,4.34735252609261,"3",111.008350597207,"BP2","iSVZ",1.7458267694061,0,0
"SRR2967173",-86.4770189274769,-15.623789554387,"3",116.707626586168,"BP2","oSVZ",4.36321313758603,0,0
"SRR2967176",-133.982142214375,20.3190549264884,"3",123.97374862867,"BP2","oSVZ",3.57908357896209,0,0
"SRR2967180",-125.992070444871,16.9310146947957,"3",115.514666602374,"BP2","iSVZ",1.99547728277138,0,0
"SRR2967190",-99.5066348098311,4.10916892722295,"3",95.3343305760607,"BP1","iSVZ",3.79704411480318,0,0
"SRR2967193",-46.4959051464777,-21.181659137084,"4",14.1599352423542,"AP1","VZ",4.53773092253307,0,0
"SRR2967195",-86.3218229767579,17.2571519726107,"3",98.1479293357163,"BP1","iSVZ",4.01489977188754,0,0.0369521258281847
"SRR2967196",-58.7810732719913,-5.6674093335735,"3",128.971080883993,"N1","oSVZ",1.23363654804492,0,0
"SRR2967197",-119.840383499629,10.4846441874911,"3",109.171856063428,"BP2","iSVZ",3.08483984512123,0,0.472203883536159
"SRR2967201",-19.6299223457938,-17.0003102539235,"1",52.1085547126359,"AP2","VZ",3.50359043631107,0,0
"SRR2967202",-86.6156620009542,36.7584428234695,"3",112.629687910045,"BP2","iSVZ",1.96765926178782,2.79545319397991,0.133532488394518
"SRR2967204",-114.034011634055,5.06163538122873,"3",104.919790191789,"BP1","iSVZ",3.38656679864246,0,0
"SRR2967215",-70.651701505929,47.3905710279972,"3",130.028956207498,"N1","oSVZ",0,0,2.87600608068978
"SRR2967216",-76.6299722310908,-9.51221343094182,"3",116.679264474245,"BP2","oSVZ",0,0,0.203222459799448
"SRR2967222",-48.3962328735211,13.6069405053578,"5",67.6103151969567,"BP1","iSVZ",0.906020099391793,0,0.00893483080041262
"SRR2967223",-90.7269880515601,-6.07477972150584,"3",106.282463603705,"BP1","iSVZ",2.45524961684315,0,0
"SRR2967224",-96.0651655288956,17.5246918222172,"3",91.3044813675941,"BP1","iSVZ",0.401727662295171,0,0
"SRR2967227",-81.7574170079696,49.7151960353998,"3",126.453398950793,"BP2","oSVZ",3.04173886723293,0,4.2729637704532
