"cell_id","Component_1","Component_2","State","Pseudotime","stage_group","paper_like_label","SOX2","EOMES","MYT1L","Zone"
"SRR2967100",-12.7525287877756,0.884987158327084,"5",32.5861588082302,"N_like","N1",3.05553407163694,0,0,"oSVZ"
"SRR2967101",-18.8936229551268,-1.27651993871037,"5",39.0487039582916,"N_like","N1",2.20952510867955,0,0.395418218238322,"CP"
"SRR2967102",-20.1610303129153,-1.82368857979035,"5",40.4190603822656,"N_like","N1",1.71374419709747,0,0.0549100028945583,"CP"
"SRR2967103",-14.6315088037054,-0.609096169446626,"5",34.7516558213105,"N_like","N1",1.00465958563459,0,0,"CP"
"SRR2967104",-19.4316581946347,-1.37221258990714,"5",39.5919900201694,"N_like","N1",3.20843141970615,0,0,"CP"
"SRR2967105",-19.8325577934429,-1.86719946321909,"5",40.1161100779308,"N_like","N1",0,0,0,"CP"
"SRR2967106",-19.7134206382642,-1.37311441064031,"5",39.8626366711185,"N_like","N1",3.79539292881563,0,0.0335106794902187,"CP"
"SRR2967107",-1.59764079255808,1.90386076888136,"4",21.2609276642521,"BP_like","BP1",1.9735965821788,0,5.58181519728167,"oSVZ"
"SRR2967108",-19.1900680254186,-1.12100785916637,"5",39.2893926504067,"N_like","N1",2.80903159561378,0,0.110097399467301,"CP"
"SRR2967109",-13.6729283018007,-0.130939894363309,"5",33.7085101049209,"N_like","N1",2.80836857438738,0,0,"CP"
"SRR2967110",2.05846784633311,3.54940020405324,"4",17.4557712787376,"BP_like","BP1",0,0,0.272561933561353,"oSVZ"
"SRR2967111",-19.0458857347402,-1.29671822602153,"5",39.2005151947986,"N_like","N1",4.28326248483757,0,0.29313972872319,"CP"
"SRR2967112",-20.9233279476303,-2.17430908682091,"5",41.2492580654086,"N_like","N1",5.94456331891017,0,0,"CP"
"SRR2967113",-6.85486982603628,1.02221190390189,"4",26.6869984041176,"BP_like","BP1",0,0,0,"oSVZ"
"SRR2967114",-18.8500846848544,-1.83919811591091,"5",39.1653940368676,"N_like","N1",4.4394236728416,1.38707022209029,0,"CP"
"SRR2967115",-17.1482268274289,-0.957504034435689,"5",37.2831941077765,"N_like","N1",4.92547729627676,0,0,"CP"
"SRR2967116",-19.0321858580524,-1.16487333368652,"5",39.1502380408358,"N_like","N1",4.46783375497769,0,0,"CP"
"SRR2967117",-19.5176547847363,-1.45367416576445,"5",39.6974593275834,"N_like","N1",4.04175989039231,0,0,"CP"
